0000105949989000289    REISTAR INDUSTRIA E COMERCIO DE ELETRONICOS LTDA                                                                                                                               068644763
0000277500049008465    MERCADOMOVEIS LTDA                                                                                                                                                             9040774375
0000322962737000128    GAZIN ATACADO CENTRO-OESTE LTDA                                                                                                                                                106461141
0000444742211001228    MOVEIS LANZA LTDA                                                                                                                                                              222009730111
0000511494894000130    MOPAR INDUSTRIA E COMERCIO DE MOVEIS LTDA                                                                                                                                      9051145493
0000675341800000175    ARAMOVEIS INDUSTRIA DE MOVEIS LTDA-EM REC JUDICIAL                                                                                                                             6280187745
0000785074623000242    DJ-INDUSTRIA E COMERCIO DE MOVEIS LTDA                                                                                                                                         9038999483
0000895443594000111    FORMA STYLO COLCHOES E ESPUMAS LTDA                                                                                                                                            1019215497
0000901789035000114    FAIMEC - INDUSTRIA E COMERCIO DE MOVEIS LTDA                                                                                                                                   253461529
0001009104629000156    BEST COMERCIAL IMPORTADORA LTDA                                                                                                                                                255481160
0001111416589000120    CHAMALUX IND. COM. IMP. E EXP. LTDA                                                                                                                                            256007942
0001200.000.000/0001-99NOVO FORNECEDOR TESTE                                                                                                   11999999999
0001312345678901234    FORNECEDOR TESTE COBOL
